---,Prompt_Dialogue
1.1,"Feels off all morning."
1.2,"Mood remains normal."
2.1,"Briefly lifts my mood."
2.2,"Anxiety spikes, heart races, feeling overwhelmed."
3.1,"Second guessing my competence. Sprials quietly."
3.2,"Feels guilty for not being strong."
4.1,"Feels rejected and lonely."
4.2,"Hyper-aware of being alone."
5.1,"Overthinks every word afterward."
5.2,"Feels selfish and ashamed hours later"
6.1,"Devastated but hopeful."
6.2,"Guilt Becomes overwhelming; can't focus; mentally spirals."
7.1,"Anxiety builds up."
7.2,"Extreme stress, ashamed of myself."
8.1,"Feels like a failure."
8.2,"Feels unloved, unwanted."
9.1,"Overwhelmed; spirals deeply after."
9.2,"Isolates and feels unanchored."
10.1,"Smiles, but internally shatters."
10.2,"Smiles, but internally shatters."
11.1,"The last straw."
11.2,"The last straw."
